"Abort"	"中断"
"Aborting; wait for Modela to stop or switch to view mode and hold up/down buttons to clear buffer"	"中断します。Modelaが停止するのを待つか,、ビューモードに切り替えた後UP/DOWNボタンを両押しすることでバッファをクリアして下さい"
"Begin Milling"	"切削開始"
"CONTINUE"	"続行"
"Executing: %s (%d:%02d)"	"実行中: %s (%d:%02d)"
"Exit"	"終了"
"Finished."	"終了しました。"
"Origin:"	"原点:"
"Ready."	"準備完了。"
"Size:"	"サイズ:"
"Speeds:"	"スピード:"
"Time:"	"時間:"
"elapsed: "	"経過時間:"
"elapsed: %02d:%02d s"	"経過時間: %02d:%02d s"
"fab modules version: "	"Fab modules バージョン: "
"feed: "	"送り速度:"
"feed: %01.01f mm/s"	"送り速度: %01.01f mm/s"
"from format:"	"フォーマット"
"not defined"	"定義されていません"
"plunge: "	"進入速度"
"plunge: %01.01f mm/s"	"進入速度: %01.01f mm/s"
"remaining: "	"残り時間:"
"remaining: %02d:%02d s"	"残り時間: %02d:%02d s"
"segment"	"セグメント"
"start"	"開始"
"to process:"	"プロセス"
"with program:"	"プログラム"
'      cut speed (mm/s)'	'切削速度 (mm/s)'
'  diameter (mm)'	'直径 (mm)'
' GUI size (pixels):'	'画面サイズ (ピクセル数)'
'2D power (%)'	'2D パワー (%)'
'3D power (%)'	'3D パワー (%)'
'BACK'	'後退'
'DOWN'	'下降'
'FORWARD'	'前進'
'LEFT'	'左移動'
'OFF'	'スピンドル停止'
'OK'	'OK'
'RIGHT'	'右移動'
'STOP'	'停止'
'UP'	'上昇'
'acceleration'	'加速度'
'back'	'後退'
'bot intensity (0-1)'	'下面 強さ (0-1)'
'bot z (mm)'	'下面 z (mm)'
'bottom'	'下面'
'cancel'	'キャンセル'
'clearance diameter (mm)'	'クリアランス 直径 (mm)'
'clearance length (mm)'	'クリアランス 長さ (mm)'
'climb'	'climb'
'conventional'	'conventional'
'coolant        '	'冷却系'
'curve points'	'曲線上の点'
'cut depth (mm)'	'切削深さ (mm'
'cut quality         '	'切削クオリティ'
'cut speed (mm/s)'	'切削速度 (mm/s)'
'diameter (mm)'	'直径 (mm)'
'direction:'	'方向'
'distances'	'距離'
'down'	'下降'
'error (pixels)'	'誤差 (ピクセル数)'
'file units:'	'ファイル単位:'
'force (g)'	'力 (g)'
'forward'	'前進'
'from: cad'	'cadの読み込み'
'from: math'	'mathの読み込み'
'from: png'	'pngの読み込み'
'from: stl'	'stlの読み込み'
'from: svg'	'svgの読み込み'
'height (mm):'	'高さ (mm)'
'home'	'始点'
'inches'	'インチ'
'intensity (0-1) '	'強さ (0-1)'
'intensity (0-1)'	'強さ (0-1)'
'interior'	'内部'
'invert .png'	'.pngを反転'
'jog (mm)      '	'ジョグ (mm)'
'jog height (mm)     '	'ジョグの高さ (mm)'
'jog speed (mm/s) z (mm)'	'ジョグの速度 (mm/s) z (mm)'
'jog speed (mm/s)'	'ジョグの速度 (mm/s)'
'jog'	'ジョグ'
'lead in/out (mm)'	'lead in/out (mm)'
'left'	'左移動'
'left: pan, scroll: zoom'	'左クリック: パン, スクロール: ズーム'
'left: pan, scroll: zoom, right: rotate'	'左クリック: パン, スクロール: ズーム, 右クリック: 回転'
